record_id,title,year,venue,doi,ta_rater_A,ta_rater_B,ta_final,ft_rater_A,ft_rater_B,ft_final,exclusion_code,note
title_e3ddf8756e92,From Black Box to Executable Logic: Explainable Reinforcement Learning through Prolog Expert Systems,2026,arXiv,,,,,,,,,
title_7bfb26a7c0f1,Explaining Reinforcement Learning Agents via Inductive Logic Programming,2026,arXiv,,,,,,,,,
title_b8e86deae67a,Textual Explanations and Their Evaluations for Reinforcement Learning Policy,2026,arXiv,,,,,,,,,
title_f1845d0b5dc1,A Comparative User Evaluation of XRL Explanations using Goal Identification,2025,arXiv,,,,,,,,,
title_3ccdef912ac4,TalkToAgent: A Human-centric Explanation of Reinforcement Learning Agents with Large Language Models,2025,arXiv,,,,,,,,,
title_b593815cf51a,"A Survey of Explainable Reinforcement Learning: Targets, Methods and Needs",2025,arXiv,,,,,,,,,
title_5bf9027bf552,Behaviour Discovery and Attribution for Explainable Reinforcement Learning,2025,arXiv,,,,,,,,,
title_e7b7fd9a2c1b,Objective Metrics for Human-Subjects Evaluation in Explainable Reinforcement Learning,2025,arXiv,,,,,,,,,
title_55e0128d7372,Mental Modeling of Reinforcement Learning Agents by Language Models,2024,arXiv,,,,,,,,,
title_22a1664887fb,XRL-Bench: A Benchmark for Evaluating and Comparing Explainable Reinforcement Learning Techniques,2024,arXiv,,,,,,,,,
title_dca9974089fa,Causal State Distillation for Explainable Reinforcement Learning,2023,arXiv,,,,,,,,,
title_d4a0625791b9,"A Survey on Explainable Reinforcement Learning: Concepts, Algorithms, Challenges",2022,arXiv,,,,,,,,,
title_bc0f67011764,Explainable Reinforcement Learning on Financial Stock Trading using SHAP,2022,arXiv,,,,,,,,,
title_7a8827e9e094,Toward Policy Explanations for Multi-Agent Reinforcement Learning,2022,arXiv,,,,,,,,,
title_785eb1c859fc,A Survey of Explainable Reinforcement Learning,2022,arXiv,,,,,,,,,
title_1a0e863bd9d9,Surrogate Fitness Metrics for Interpretable Reinforcement Learning,2025,arXiv,,,,,,,,,
title_dac87874d836,Evaluating Interpretable Reinforcement Learning by Distilling Policies into Programs,2025,arXiv,,,,,,,,,
title_eea2c9129fc6,DisCo-DSO: Coupling Discrete and Continuous Optimization for Efficient Generative Design in Hybrid Spaces,2024,arXiv,,,,,,,,,
title_b45c6a5e2d71,RGMDT: Return-Gap-Minimizing Decision Tree Extraction in Non-Euclidean Metric Space,2024,arXiv,,,,,,,,,
title_ffe69c57a392,Methodology for Interpretable Reinforcement Learning for Optimizing Mechanical Ventilation,2024,arXiv,,,,,,,,,
doi_10_22541_au_177222571_15877912_v1,EXPLAINABLE REINFORCEMENT LEARNING FOR TRANSPARENT AUTONOMOUS DECISION SYSTEMS,2026,,10.22541/au.177222571.15877912/v1,,,,,,,,
doi_10_1007_s10994_023_06479_7,Explainable reinforcement learning (XRL): a systematic literature review and taxonomy,2024,Machine Learning,10.1007/s10994-023-06479-7,,,,,,,,
doi_10_1145_3616864,Explainable Reinforcement Learning: A Survey and Comparative Review,2023,ACM Computing Surveys,10.1145/3616864,,,,,,,,
doi_10_1109_icar53236_2021_9659472,Explainable Reinforcement Learning for Human-Robot Collaboration,2021,2021 20th International Conference on Advanced Robotics (ICAR),10.1109/icar53236.2021.9659472,,,,,,,,
doi_10_1109_ictai66417_2025_00194,Explainable Reinforcement Learning for Multi-Agent Systems,2025,,10.1109/ictai66417.2025.00194,,,,,,,,
title_a6cc262da760,Explainable Reinforcement Learning for Risk Mitigation in a human-robot collaboration scenario,2021,,,,,,,,,,
doi_10_63125_53crx355,"EXPLAINABLE REINFORCEMENT LEARNING FOR HIGH-STAKES DECISION SYSTEMS DEVELOPING INTERPRETABLE RL MODELS FOR AUTONOMOUS VEHICLES, HEALTHCARE, OR FINANCE",2022,,10.63125/53crx355,,,,,,,,
title_843594a08b19,Explainable Artificial Intelligence for Telecommunications,2026,Diva portal (Dalarna University Library),,,,,,,,,
doi_10_2514_6_2026_0348,DreamerVFD: Generating Interpretable Plans With Model-Based Reinforcement Learning and Value Function Decomposition,2026,,10.2514/6.2026-0348,,,,,,,,
doi_10_1007_s42454_025_00084_w,A systematic review of human-centered explainability in reinforcement learning: transferring the RCC framework to support epistemic trustworthiness,2025,Human-Intelligent Systems Integration,10.1007/s42454-025-00084-w,,,,,,,,
doi_10_32604_ee_2026_075305,Safe and Explainable Reinforcement Learning-Based Intelligent Switching Control for Standalone and Grid-Tied Z-Source Inverter under Uncertain Solar Conditions,2026,Energy Engineering,10.32604/ee.2026.075305,,,,,,,,
doi_10_22161_ijaems_122_8,Policy Convergence and Explainable Stability in Orchestrated Multi-Agent LLM Trading Frameworks,2026,International Journal of Advanced engineering Management and Science,10.22161/ijaems.122.8,,,,,,,,
title_4892a9323c30,Explain-Then-Act: A Novel LLM-Critic Framework for Safer Reinforcement Learning in Autonomous Driving,2026,Qucosa (Saxon State and University Library Dresden),,,,,,,,,
doi_10_1051_itmconf_20257801039,A Study of Explainability Inquiry Based on Reinforcement Learning,2025,ITM Web of Conferences,10.1051/itmconf/20257801039,,,,,,,,
doi_10_52783_jisem_v10i43s_8308,AI Governance via Explainable Reinforcement Learning (XRL) for Adaptive Cyber Deception in Zero-Trust Networks,2025,Journal of Information Systems Engineering & Management,10.52783/jisem.v10i43s.8308,,,,,,,,
doi_10_1109_epeps61853_2024_10754045,Explainable Reinforcement Learning(XRL)-Based Decap Placement Optimization for High Bandwidth Memory (HBM),2024,,10.1109/epeps61853.2024.10754045,,,,,,,,
doi_10_1007_978_981_99_3236_8_67,Evaluation of Intrinsic Explainable Reinforcement Learning in Remote Electrical Tilt Optimization,2023,Lecture notes in networks and systems,10.1007/978-981-99-3236-8_67,,,,,,,,
doi_10_3390_applbiosci5020038,An Exploratory Reinforcement Learning Simulation Framework for Studying Antimicrobial Resistance Dynamics Under Copper Exposure,2026,Applied Biosciences,10.3390/applbiosci5020038,,,,,,,,
