source_db,title,authors,year,venue,doi,url,abstract,publisher,retrieved_via
ACM Digital Library (via OpenAlex),Explainable Reinforcement Learning: A Survey and Comparative Review,Stephanie Milani; Nicholay Topin; Manuela Veloso; Fei Fang,2023,ACM Computing Surveys,10.1145/3616864,https://openalex.org/W4386193536,"Explainable reinforcement learning (XRL) is an emerging subfield of explainable machine learning that has attracted considerable attention in recent years. The goal of XRL is to elucidate the decision-making process of reinforcement learning (RL) agents in sequential decision-making settings. Equipped with this information, practitioners can better understand important questions about RL agents (especially those deployed in the real world), such as what the agents will do and why. Despite increased interest, there exists a gap in the literature for organizing the plethora of papers—especially in a way that centers the sequential decision-making nature of the problem. In this survey, we propose a novel taxonomy for organizing the XRL literature that prioritizes the RL setting. We propose three high-level categories: feature importance, learning process and Markov decision process, and policy-level. We overview techniques according to this taxonomy, highlighting challenges and opportunities for future work. We conclude by using these gaps to motivate and outline a roadmap for future work.",Association for Computing Machinery,openalex_api
SpringerLink (via OpenAlex),Explainable reinforcement learning (XRL): a systematic literature review and taxonomy,Yanzhe Bekkemoen,2023,Machine Learning,10.1007/s10994-023-06479-7,https://openalex.org/W4389131286,"Abstract In recent years, reinforcement learning (RL) systems have shown impressive performance and remarkable achievements. Many achievements can be attributed to combining RL with deep learning. However, those systems lack explainability, which refers to our understanding of the system’s decision-making process. In response to this challenge, the new explainable RL (XRL) field has emerged and grown rapidly to help us understand RL systems. This systematic literature review aims to give a unified view of the field by reviewing ten existing XRL literature reviews and 189 XRL studies from the past five years. Furthermore, we seek to organize these studies into a new taxonomy, discuss each area in detail, and draw connections between methods and stakeholder questions (e.g., “how can I get the agent to do _?”). Finally, we look at the research trends in XRL, recommend XRL methods, and present some exciting research directions for future research. We hope stakeholders, such as RL researchers and practitioners, will utilize this literature review as a comprehensive resource to overview existing state-of-the-art XRL methods. Additionally, we strive to help find research gaps and quickly identify methods that answer stakeholder questions.",Springer Science+Business Media,openalex_api
Other (via OpenAlex),Explainable Reinforcement Learning for Human-Robot Collaboration,Alessandro Iucci; Alberto Hata; Ahmad Terra; Rafia Inam; Iolanda Leite,2021,2021 20th International Conference on Advanced Robotics (ICAR),10.1109/icar53236.2021.9659472,https://openalex.org/W4205156393,"Reinforcement learning (RL) is getting popular in the robotics field due to its nature to learn from dynamic environments. However, it is unable to provide explanations of why an output was generated. Explainability becomes therefore important in situations where humans interact with robots, such as in human-robot collaboration (HRC) scenarios. Attempts to address explainability in robotics usually are restricted to explain a specific decision taken by the RL model, but not to understand the complete behavior of the robot. In addition, the explainability methods are restricted to be used by domain experts as queries and responses are not translated to natural language. This work overcomes these limitations by proposing an explainability solution for RL models applied to HRC. It is mainly formed by the adaptation of two methods: (i) Reward decomposition gives an insight into the factors that impacted the robot's choice by decomposing the reward function. It further provides sets of relevant reasons for each decision taken during the robot's operation; (ii) Autonomous policy explanation provides a global explanation of the robot's behavior by answering queries in the form of natural language, thus making understandable to any human user. Experiments in simulated HRC scenarios revealed an increased understanding of the optimal choices made by the robots. Additionally, our solution demonstrated as a powerful debugging tool to find weaknesses in the robot's policy and assist in its improvement.",,openalex_api
Other (via OpenAlex),Toward Policy Explanations for Multi-Agent Reinforcement Learning,Kayla Boggess; Sarit Kraus; Feng Lu,2022,Proceedings of the Thirty-First International Joint Conference on Artificial Intelligence,10.24963/ijcai.2022/16,https://openalex.org/W4225093764,"Advances in multi-agent reinforcement learning (MARL) enable sequential decision making for a range of exciting multi-agent applications such as cooperative AI and autonomous driving. Explaining agent decisions is crucial for improving system transparency, increasing user satisfaction, and facilitating human-agent collaboration. However, existing works on explainable reinforcement learning mostly focus on the single-agent setting and are not suitable for addressing challenges posed by multi-agent environments. We present novel methods to generate two types of policy explanations for MARL: (i) policy summarization about the agent cooperation and task sequence, and (ii) language explanations to answer queries about agent behavior. Experimental results on three MARL domains demonstrate the scalability of our methods. A user study shows that the generated explanations significantly improve user performance and increase subjective ratings on metrics such as user satisfaction.",,openalex_api
arXiv,Toward Policy Explanations for Multi-Agent Reinforcement Learning,Kayla Boggess; Sarit Kraus; Feng Lu,2022,arXiv (Cornell University),10.48550/arxiv.2204.12568,https://openalex.org/W4308291330,"Advances in multi-agent reinforcement learning (MARL) enable sequential decision making for a range of exciting multi-agent applications such as cooperative AI and autonomous driving. Explaining agent decisions is crucial for improving system transparency, increasing user satisfaction, and facilitating human-agent collaboration. However, existing works on explainable reinforcement learning mostly focus on the single-agent setting and are not suitable for addressing challenges posed by multi-agent environments. We present novel methods to generate two types of policy explanations for MARL: (i) policy summarization about the agent cooperation and task sequence, and (ii) language explanations to answer queries about agent behavior. Experimental results on three MARL domains demonstrate the scalability of our methods. A user study shows that the generated explanations significantly improve user performance and increase subjective ratings on metrics such as user satisfaction.",Cornell University,openalex_api
Other (via OpenAlex),Explainable Reinforcement Learning for Multi-Agent Systems,Rehab Uddin Shawon; Siming Liu; Ayesha Siddiqua,2025,,10.1109/ictai66417.2025.00194,https://openalex.org/W4417338844,"Multi-Agent Reinforcement Learning (MARL) has emerged as a powerful paradigm for solving complex tasks involving both cooperation and competition among agents. However, the decision-making processes of MARL models often difficult to interpret, presenting challenges for transparency and user trust. While existing explainable reinforcement learning techniques predominantly focus on single-agent settings, they fall short in addressing the intricacies of multi-agent environments. To bridge this gap, we propose PEIM (Policy Explanation in MARL), a temporally aware framework for explaining decision-making in MARL using local and model-agnostic techniques. PEIM captures and visualizes recent decision histories of agents, highlighting influential features and actions to provide both real-time and temporal insights. These explanations support temporal pattern mining, strategic behavior analysis, and behavior modeling, thereby facilitating a deeper understanding of emergent multiagent dynamics. We validate the proposed framework through experiments on competitive multi-agent scenarios in the StarCraft Multi-Agent Challenge using pre-trained MARL models. The results show that PEIM enabled the identification of individual behavior patterns (e.g., fleeing, target selection) and collaborative strategies (e.g., focus fire, grouping). These interpretable insights align agent decisions with human reasoning, effectively reducing the black-box nature of MARL systems and fostering trust through enhanced transparency and interpretability.",,openalex_api
Other (via OpenAlex),Explainable Reinforcement Learning for Risk Mitigation in a human-robot collaboration scenario,Alessandro Iucci,2021,,,https://openalex.org/W3166564484,"Reinforcement Learning (RL) algorithms are highly popular in the robotics field because the can solve complex control problems, learn from dynamic environments and generate the optimal outcome. Explainability for all Machine Learning (ML)-based algorithms including RL is gaining importance because of the increasing complexity of the models, which makes them more accurate but at the same time less transparent. The need for explainability increases even more in Human-Robot Collaboration (HRC) scenarios where safety is an important aspect to be guaranteed. This work focuses on the application of two explainability techniques, “Reward Decomposition” and “Autonomous Policy Explanation”, on a RL algorithm which is the core of a risk mitigation module for robots’ operation in an automated warehouse scenario, a HRC environment where human and robots work together without harming one another. The first technique used is “Reward decomposition” which gives an insight on the factors that impacted the robot’s choice by decomposing the reward function into sub-functions, each considering a specific aspect of the robot’s state, and using a graphical type of explanation. It also allows to create Minimal Sufficient Explanation (MSX), sets of relevant reasons for each decision taken during the robot’s operation. On the other hand, the second applied technique, “Autonomous Policy Explanation”, provides a global overview of the robot’s behaviour, letting it answer either targeted or general queries asked by human users, but also providing insight on the decision guidelines embedded in the policy learnt by the robot. Since the synthesis of the policy descriptions and the queries’ answers are in natural language, this tool facilitates algorithm diagnosis even by non-expert users. The work provides an analysis of the results of the application of both techniques which both led to increased transparency of the robot’s decision process, building trust in its choices which proved to be among the optimal ones in most of the cases, but also made possible to find weaknesses in the robot’s policy helpful for debugging purposes.",,openalex_api
Other (via OpenAlex),"EXPLAINABLE REINFORCEMENT LEARNING FOR HIGH-STAKES DECISION SYSTEMS DEVELOPING INTERPRETABLE RL MODELS FOR AUTONOMOUS VEHICLES, HEALTHCARE, OR FINANCE",Sai Srinivas Matta; Manish Bolli,2022,,10.63125/53crx355,https://openalex.org/W4415994108,"The study on Explainable Reinforcement Learning (XRL) for High-Stakes Decision Systems: Developing Interpretable RL Models for Autonomous Vehicles, Healthcare, or Finance had been conducted to investigate how interpretability in reinforcement learning enhances performance, trust, and accountability in critical decision-making environments. This research had reviewed and synthesized findings from 126 peer-reviewed papers spanning the past decade, focusing on the integration of explain ability mechanisms into reinforcement learning models applied to safety-critical and ethically sensitive domains. The study aimed to identify quantitative relationships between key explain ability constructs—fidelity, stability, and comprehensibility—and measurable human or system outcomes such as decision accuracy, response time, trust calibration, and accountability perception. Using a mixed quantitative framework, the research combined simulation-based performance data, human-centered evaluation metrics, and statistical modeling to assess how explainable RL architectures perform compared to non-explainable counterparts. The findings revealed that explainable reinforcement learning models consistently outperformed traditional opaque systems across all three domains. In autonomous vehicles, explanations improved driver response times and reduced intervention rates; in healthcare, they enhanced clinician confidence and treatment decision accuracy; and in finance, they improved risk-adjusted returns and investor trust. Regression and correlation analyses demonstrated that explanation fidelity strongly predicted decision accuracy, while explanation stability and comprehensibility were significant predictors of trust and accountability. Furthermore, repeated-measures ANOVA confirmed statistically significant improvements in user trust and performance under explainable conditions, supported by large effect sizes. The study also identified several persistent challenges, including the trade-off between interpretability and performance, variability in user comprehension, and limitations in real-time explanation delivery. Overall, the review and empirical analysis provided a comprehensive understanding of how explainable reinforcement learning contributes to safer, more transparent, and ethically accountable AI-driven decision systems. The insights derived from the 126 reviewed studies establish a robust foundation for developing future XRL frameworks capable of balancing performance optimization with human interpretability in complex, high-stakes environments such as autonomous vehicles, clinical systems, and financial analytics.",,openalex_api
arXiv,Textual Explanations and Their Evaluations for Reinforcement Learning Policy,Ahmad Terra; Mohit Ahmed; Rafia Inam; Elena Fersman; Martin Törngren,2026,arXiv (Cornell University),,https://openalex.org/W7119233244,"Understanding a Reinforcement Learning (RL) policy is crucial for ensuring that autonomous agents behave according to human expectations. This goal can be achieved using Explainable Reinforcement Learning (XRL) techniques. Although textual explanations are easily understood by humans, ensuring their correctness remains a challenge, and evaluations in state-of-the-art remain limited. We present a novel XRL framework for generating textual explanations, converting them into a set of transparent rules, improving their quality, and evaluating them. Expert's knowledge can be incorporated into this framework, and an automatic predicate generator is also proposed to determine the semantic information of a state. Textual explanations are generated using a Large Language Model (LLM) and a clustering technique to identify frequent conditions. These conditions are then converted into rules to evaluate their properties, fidelity, and performance in the deployed environment. Two refinement techniques are proposed to improve the quality of explanations and reduce conflicting information. Experiments were conducted in three open-source environments to enable reproducibility, and in a telecom use case to evaluate the industrial applicability of the proposed XRL framework. This framework addresses the limitations of an existing method, Autonomous Policy Explanation, and the generated transparent rules can achieve satisfactory performance on certain tasks. This framework also enables a systematic and quantitative evaluation of textual explanations, providing valuable insights for the XRL field.",Cornell University,openalex_api
arXiv,Textual Explanations and Their Evaluations for Reinforcement Learning Policy,Ahmad Terra; Mohit Ahmed; Rafia Inam; Elena Fersman; Martin Törngren,2026,arXiv (Cornell University),10.48550/arxiv.2601.02514,https://openalex.org/W7118734269,"Understanding a Reinforcement Learning (RL) policy is crucial for ensuring that autonomous agents behave according to human expectations. This goal can be achieved using Explainable Reinforcement Learning (XRL) techniques. Although textual explanations are easily understood by humans, ensuring their correctness remains a challenge, and evaluations in state-of-the-art remain limited. We present a novel XRL framework for generating textual explanations, converting them into a set of transparent rules, improving their quality, and evaluating them. Expert's knowledge can be incorporated into this framework, and an automatic predicate generator is also proposed to determine the semantic information of a state. Textual explanations are generated using a Large Language Model (LLM) and a clustering technique to identify frequent conditions. These conditions are then converted into rules to evaluate their properties, fidelity, and performance in the deployed environment. Two refinement techniques are proposed to improve the quality of explanations and reduce conflicting information. Experiments were conducted in three open-source environments to enable reproducibility, and in a telecom use case to evaluate the industrial applicability of the proposed XRL framework. This framework addresses the limitations of an existing method, Autonomous Policy Explanation, and the generated transparent rules can achieve satisfactory performance on certain tasks. This framework also enables a systematic and quantitative evaluation of textual explanations, providing valuable insights for the XRL field.",Cornell University,openalex_api
